timestamp,run_id,client_id,client_round,candidate_index,rung,fitness,batch_size,optimizer,lr,weight_decay,momentum
2026-05-27T18:34:35,20260527_182957,5,2,2,full,0.5473889928896727,64,adamw,0.005,0.0,0.0
2026-05-27T18:34:35,20260527_182957,5,2,3,full,0.5413443391571511,128,adamw,0.001,0.001,0.0
2026-05-27T18:34:51,20260527_182957,4,1,0,full,0.5874790580748388,128,adamw,0.001,0.001,0.0
2026-05-27T18:34:51,20260527_182957,4,1,1,full,0.5449822513900848,128,sgd,0.001,0.0001,0.9
2026-05-27T18:34:51,20260527_182957,4,1,2,full,0.6189705381149833,64,lion,0.0005,1e-05,0.0
2026-05-27T18:34:51,20260527_182957,4,1,3,full,0.5590711949152134,128,adam,0.0005,0.0,0.0
2026-05-27T18:34:57,20260527_182957,9,3,0,full,0.6005904294346109,128,adamw,0.003,0.001,0.0
2026-05-27T18:34:57,20260527_182957,9,3,1,full,0.6006215714547668,64,sgd,0.005,0.0001,0.95
2026-05-27T18:34:57,20260527_182957,9,3,2,full,0.5949743956459842,128,adamw,0.005,0.0,0.0
2026-05-27T18:34:57,20260527_182957,9,3,3,full,0.6061997797203104,128,radam,0.01,0.001,0.0
2026-05-27T18:35:22,20260527_182957,8,4,0,full,0.6776669959082631,128,adamw,0.001,0.001,0.0
2026-05-27T18:35:22,20260527_182957,8,4,1,full,0.6411760618434412,64,adamw,0.005,0.001,0.0
2026-05-27T18:35:22,20260527_182957,8,4,2,full,0.6632685511935849,128,radam,0.01,0.0001,0.0
2026-05-27T18:35:22,20260527_182957,8,4,3,full,0.6413118067969634,128,radam,0.0005,0.0001,0.0
2026-05-27T18:35:33,20260527_182957,2,2,0,full,0.6273270163571409,128,lion,0.001,0.001,0.0
2026-05-27T18:35:33,20260527_182957,2,2,1,full,0.642345792905559,64,adamw,0.001,1e-05,0.0
2026-05-27T18:35:33,20260527_182957,2,2,2,full,0.6411215609072467,128,radam,0.005,0.0001,0.0
2026-05-27T18:35:33,20260527_182957,2,2,3,full,0.5968769205639806,64,lion,0.01,0.0,0.0
2026-05-27T18:35:33,20260527_182957,3,3,0,full,0.5564647741396775,128,adamw,0.005,0.0,0.0
2026-05-27T18:35:33,20260527_182957,3,3,1,full,0.5771164502415013,128,adam,0.005,0.0,0.0
2026-05-27T18:35:33,20260527_182957,3,3,2,full,0.5864946537447194,64,sgd,0.003,0.001,0.95
2026-05-27T18:35:33,20260527_182957,3,3,3,full,0.5544289157789858,128,radam,0.005,0.0,0.0
2026-05-27T18:35:39,20260527_182957,4,2,0,full,0.5874790580748388,128,adamw,0.001,0.001,0.0
2026-05-27T18:35:39,20260527_182957,4,2,1,full,0.5449822513900848,128,sgd,0.001,0.0001,0.9
2026-05-27T18:35:39,20260527_182957,4,2,2,full,0.6189705381149833,64,lion,0.0005,1e-05,0.0
2026-05-27T18:35:39,20260527_182957,4,2,3,full,0.5590711949152134,128,adam,0.0005,0.0,0.0
2026-05-27T18:36:11,20260527_182957,9,4,0,full,0.6412789832105318,128,adamw,0.003,0.001,0.0
2026-05-27T18:36:11,20260527_182957,9,4,1,full,0.6567009955633818,64,sgd,0.005,0.0001,0.95
2026-05-27T18:36:11,20260527_182957,9,4,2,full,0.6006333276423705,128,adamw,0.005,0.0,0.0
2026-05-27T18:36:11,20260527_182957,9,4,3,full,0.6370889788260914,128,radam,0.01,0.001,0.0
2026-05-27T18:36:20,20260527_182957,1,2,0,full,0.5622480070821401,128,radam,0.0005,0.0001,0.0
2026-05-27T18:36:20,20260527_182957,1,2,1,full,0.6046520330712607,128,lion,0.0005,0.001,0.0
2026-05-27T18:36:20,20260527_182957,1,2,2,full,0.6101772366380346,64,adamw,0.001,0.0001,0.0
2026-05-27T18:36:20,20260527_182957,1,2,3,full,0.5853917330379792,128,lion,0.003,0.0,0.0
2026-05-27T18:36:26,20260527_182957,5,3,0,full,0.5390416944746586,128,adamw,0.01,0.0,0.0
2026-05-27T18:36:26,20260527_182957,5,3,1,full,0.5773106318403305,128,lion,0.0005,0.0001,0.0
2026-05-27T18:36:26,20260527_182957,5,3,2,full,0.5473889928896727,64,adamw,0.005,0.0,0.0
2026-05-27T18:36:26,20260527_182957,5,3,3,full,0.5413443391571511,128,adamw,0.001,0.001,0.0
2026-05-27T18:36:53,20260527_182957,3,4,0,full,0.6154748550420186,128,adamw,0.005,0.0,0.0
2026-05-27T18:36:53,20260527_182957,3,4,1,full,0.698119149482645,128,adam,0.005,0.0,0.0
2026-05-27T18:36:53,20260527_182957,3,4,2,full,0.67027453804116,64,sgd,0.003,0.001,0.95
2026-05-27T18:36:53,20260527_182957,3,4,3,full,0.6578734281921487,128,radam,0.005,0.0,0.0
2026-05-27T18:37:00,20260527_182957,7,2,0,full,0.4785765913111054,64,adam,0.003,1e-05,0.0
2026-05-27T18:37:00,20260527_182957,7,2,1,full,0.4827555116700215,128,radam,0.001,0.001,0.0
2026-05-27T18:37:00,20260527_182957,7,2,2,full,0.47444546928260234,64,lion,0.001,0.0001,0.0
2026-05-27T18:37:00,20260527_182957,7,2,3,full,0.4857932006688102,128,lion,0.01,1e-05,0.0
2026-05-27T18:37:08,20260527_182957,6,4,0,full,0.6934976409707878,128,sgd,0.0005,0.001,0.5
2026-05-27T18:37:08,20260527_182957,6,4,1,full,0.709171441239067,64,adam,0.003,0.0,0.0
2026-05-27T18:37:08,20260527_182957,6,4,2,full,0.6944013802180315,64,lion,0.005,0.0001,0.0
2026-05-27T18:37:08,20260527_182957,6,4,3,full,0.6957498217407379,64,adam,0.003,0.001,0.0
2026-05-27T18:37:18,20260527_182957,2,3,0,full,0.6273270163571409,128,lion,0.001,0.001,0.0
2026-05-27T18:37:18,20260527_182957,2,3,1,full,0.642345792905559,64,adamw,0.001,1e-05,0.0
2026-05-27T18:37:18,20260527_182957,2,3,2,full,0.6411215609072467,128,radam,0.005,0.0001,0.0
2026-05-27T18:37:18,20260527_182957,2,3,3,full,0.5968769205639806,64,lion,0.01,0.0,0.0
2026-05-27T18:37:18,20260527_182957,1,3,0,full,0.5622480070821401,128,radam,0.0005,0.0001,0.0
2026-05-27T18:37:18,20260527_182957,1,3,1,full,0.6046520330712607,128,lion,0.0005,0.001,0.0
2026-05-27T18:37:18,20260527_182957,1,3,2,full,0.6101772366380346,64,adamw,0.001,0.0001,0.0
2026-05-27T18:37:18,20260527_182957,1,3,3,full,0.5853917330379792,128,lion,0.003,0.0,0.0
2026-05-27T18:37:24,20260527_182957,7,3,0,full,0.4785765913111054,64,adam,0.003,1e-05,0.0
2026-05-27T18:37:24,20260527_182957,7,3,1,full,0.4827555116700215,128,radam,0.001,0.001,0.0
2026-05-27T18:37:24,20260527_182957,7,3,2,full,0.47444546928260234,64,lion,0.001,0.0001,0.0
2026-05-27T18:37:24,20260527_182957,7,3,3,full,0.4857932006688102,128,lion,0.01,1e-05,0.0
2026-05-27T18:37:24,20260527_182957,8,5,0,full,0.6776669959082631,128,adamw,0.001,0.001,0.0
2026-05-27T18:37:24,20260527_182957,8,5,1,full,0.6411760618434412,64,adamw,0.005,0.001,0.0
2026-05-27T18:37:24,20260527_182957,8,5,2,full,0.6632685511935849,128,radam,0.01,0.0001,0.0
2026-05-27T18:37:24,20260527_182957,8,5,3,full,0.6413118067969634,128,radam,0.0005,0.0001,0.0
2026-05-27T18:37:39,20260527_182957,4,3,0,full,0.5874790580748388,128,adamw,0.001,0.001,0.0
2026-05-27T18:37:39,20260527_182957,4,3,1,full,0.5449822513900848,128,sgd,0.001,0.0001,0.9
2026-05-27T18:37:39,20260527_182957,4,3,2,full,0.6189705381149833,64,lion,0.0005,1e-05,0.0
2026-05-27T18:37:39,20260527_182957,4,3,3,full,0.5590711949152134,128,adam,0.0005,0.0,0.0
2026-05-27T18:38:13,20260527_182957,7,4,0,full,0.5713886611432467,64,adam,0.003,1e-05,0.0
2026-05-27T18:38:13,20260527_182957,7,4,1,full,0.5605739481875047,128,radam,0.001,0.001,0.0
2026-05-27T18:38:13,20260527_182957,7,4,2,full,0.5945134741627116,64,lion,0.001,0.0001,0.0
2026-05-27T18:38:13,20260527_182957,7,4,3,full,0.5037500910020523,128,lion,0.01,1e-05,0.0
2026-05-27T18:38:22,20260527_182957,0,3,0,full,0.5966680622276591,64,radam,0.01,0.0001,0.0
2026-05-27T18:38:22,20260527_182957,0,3,1,full,0.5676789451743883,128,adamw,0.003,1e-05,0.0
2026-05-27T18:38:22,20260527_182957,0,3,2,full,0.5853873785412854,64,sgd,0.01,0.0001,0.7
2026-05-27T18:38:22,20260527_182957,0,3,3,full,0.6120541858387911,128,adamw,0.01,0.0,0.0
2026-05-27T18:38:51,20260527_182957,2,4,0,full,0.7157632814457638,128,lion,0.001,0.001,0.0
2026-05-27T18:38:51,20260527_182957,2,4,1,full,0.7083898656232045,64,adamw,0.001,1e-05,0.0
2026-05-27T18:38:51,20260527_182957,2,4,2,full,0.7071562593218393,128,radam,0.005,0.0001,0.0
2026-05-27T18:38:51,20260527_182957,2,4,3,full,0.6489410621561199,64,lion,0.01,0.0,0.0
2026-05-27T18:38:58,20260527_182957,6,5,0,full,0.6934976409707878,128,sgd,0.0005,0.001,0.5
2026-05-27T18:38:58,20260527_182957,6,5,1,full,0.709171441239067,64,adam,0.003,0.0,0.0
2026-05-27T18:38:58,20260527_182957,6,5,2,full,0.6944013802180315,64,lion,0.005,0.0001,0.0
2026-05-27T18:38:58,20260527_182957,6,5,3,full,0.6957498217407379,64,adam,0.003,0.001,0.0
2026-05-27T18:39:04,20260527_182957,9,5,0,full,0.6412789832105318,128,adamw,0.003,0.001,0.0
2026-05-27T18:39:04,20260527_182957,9,5,1,full,0.6567009955633818,64,sgd,0.005,0.0001,0.95
2026-05-27T18:39:04,20260527_182957,9,5,2,full,0.6006333276423705,128,adamw,0.005,0.0,0.0
2026-05-27T18:39:04,20260527_182957,9,5,3,full,0.6370889788260914,128,radam,0.01,0.001,0.0
2026-05-27T18:39:31,20260527_182957,5,4,0,full,0.6078454514640141,128,adamw,0.01,0.0,0.0
2026-05-27T18:39:31,20260527_182957,5,4,1,full,0.6422091514563789,128,lion,0.0005,0.0001,0.0
2026-05-27T18:39:31,20260527_182957,5,4,2,full,0.6344698962904878,64,adamw,0.005,0.0,0.0
2026-05-27T18:39:31,20260527_182957,5,4,3,full,0.6356226370373856,128,adamw,0.001,0.001,0.0
2026-05-27T18:39:52,20260527_182957,3,5,0,full,0.6154748550420186,128,adamw,0.005,0.0,0.0
2026-05-27T18:39:52,20260527_182957,3,5,1,full,0.698119149482645,128,adam,0.005,0.0,0.0
2026-05-27T18:39:52,20260527_182957,3,5,2,full,0.67027453804116,64,sgd,0.003,0.001,0.95
2026-05-27T18:39:52,20260527_182957,3,5,3,full,0.6578734281921487,128,radam,0.005,0.0,0.0
2026-05-27T18:40:28,20260527_182957,0,4,0,full,0.673077753856862,64,radam,0.01,0.0001,0.0
2026-05-27T18:40:28,20260527_182957,0,4,1,full,0.6998541906158744,128,adamw,0.003,1e-05,0.0
2026-05-27T18:40:28,20260527_182957,0,4,2,full,0.6930603019592206,64,sgd,0.01,0.0001,0.7
